Displacement (ccm),Power (hp),Torque (Nm),Dry weight (kg),Wheelbase (mm),Seat height (mm),Category_Custom / cruiser,Category_Naked bike,Category_Sport,Category_Touring
1077.0,173.0,120.0,182.0,1445.0,825.0,0,1,0,0
1077.0,175.0,120.0,184.0,1445.0,825.0,0,1,0,0
1077.0,175.0,121.0,184.0,1445.0,825.0,0,1,0,0
1077.0,175.0,121.0,184.0,1445.0,825.0,0,1,0,0
1077.0,201.0,121.0,184.0,1442.0,825.0,0,1,0,0
1077.0,175.0,121.0,185.0,1450.0,825.0,0,1,0,0
1077.0,175.0,121.0,185.0,1450.0,825.0,0,1,0,0
1077.0,173.0,120.0,182.0,1445.0,825.0,0,1,0,0
1077.0,175.0,120.0,184.0,1445.0,825.0,0,1,0,0
1077.0,175.0,120.0,184.0,1445.0,825.0,0,1,0,0
1077.0,175.0,120.0,184.0,1445.0,825.0,0,1,0,0
1077.0,201.0,115.0,184.0,1442.0,825.0,0,1,0,0
1077.0,173.0,121.0,185.0,1450.0,825.0,0,1,0,0
1077.0,175.0,121.0,185.0,1450.0,825.0,0,1,0,0
1077.0,175.0,121.0,185.0,1450.0,825.0,0,1,0,0
999.0,162.0,110.0,183.0,1440.0,840.0,0,1,0,0
999.6,165.0,110.0,183.0,1440.0,840.0,0,1,0,0
999.6,170.0,111.0,183.0,1445.0,835.0,0,1,0,0
999.6,167.0,111.0,183.0,1445.0,835.0,0,1,0,0
999.6,167.0,111.0,183.0,1445.0,835.0,0,1,0,0
999.6,167.0,111.0,183.0,1445.0,835.0,0,1,0,0
999.0,162.0,110.0,179.0,1440.0,840.0,0,1,0,0
2032.0,120.0,164.0,244.0,1727.0,706.0,0,0,1,0
2032.0,120.0,164.0,244.0,1727.0,706.0,0,0,1,0
249.0,27.0,22.7,149.7,1435.0,762.0,0,1,0,0
249.0,25.0,22.0,166.9,1509.0,762.0,0,1,0,0
249.0,27.0,22.7,167.8,1435.0,762.0,0,0,1,0
249.0,27.0,22.7,167.8,1435.0,762.0,0,0,1,0
249.0,27.0,22.7,167.8,1435.0,762.0,0,0,1,0
647.0,79.0,66.9,204.1,1435.0,831.0,0,0,1,0
647.0,79.0,66.9,204.1,1435.0,831.0,0,0,1,0
647.0,79.0,66.9,204.1,1435.0,831.0,0,0,1,0
249.0,25.0,22.0,166.9,1435.0,709.0,1,0,0,0
249.0,27.0,22.7,149.7,1435.0,762.0,1,0,0,0
249.0,25.0,22.0,149.7,1435.0,762.0,1,0,0,0
647.0,79.0,67.0,217.7,1699.0,706.0,1,0,0,0
647.0,79.0,67.0,217.7,1699.0,706.0,1,0,0,0
647.0,80.0,67.0,217.7,1699.0,706.0,1,0,0,0
2575.0,417.0,319.0,265.0,1600.0,820.0,0,0,1,0
2575.0,417.0,319.0,265.0,1600.0,820.0,0,0,1,0
2575.0,417.0,319.0,265.0,1600.0,820.0,0,0,1,0
1645.0,120.0,162.0,185.0,1380.0,790.0,0,1,0,0
1645.0,120.0,168.0,175.0,1380.0,790.0,0,1,0,0
1647.0,120.0,168.0,175.0,1380.0,790.0,0,1,0,0
1645.0,120.0,162.0,183.0,1380.0,790.0,0,1,0,0
1645.0,120.0,168.0,175.0,1380.0,790.0,0,1,0,0
1647.0,120.0,168.0,175.0,1380.0,790.0,0,1,0,0
1645.0,120.0,168.0,175.0,1380.0,790.0,0,1,0,0
1645.0,120.0,168.0,176.0,1380.0,790.0,0,1,0,0
1647.0,120.0,168.0,175.0,1380.0,790.0,0,1,0,0
1647.0,120.0,170.0,175.0,1380.0,790.0,0,1,0,0
1645.0,120.0,168.0,176.0,1380.0,790.0,0,1,0,0
1647.0,120.0,168.0,175.0,1380.0,790.0,0,1,0,0
1645.0,120.0,168.0,175.0,1380.0,790.0,0,1,0,0
1645.0,120.0,168.0,177.0,1380.0,790.0,0,1,0,0
178.6,17.0,14.2,134.0,1345.0,800.0,0,0,1,0
249.7,24.1,21.5,162.0,1351.0,795.0,0,0,1,0
399.3,39.4,35.0,160.0,1405.0,740.0,0,1,0,0
125.0,11.1,10.0,142.0,1360.0,770.0,0,1,0,0
125.0,11.1,10.0,142.0,1360.0,770.0,0,1,0,0
249.2,24.5,21.0,150.0,1385.0,780.0,0,1,0,0
249.2,24.5,21.0,143.0,1400.0,795.0,0,1,0,0
249.2,25.0,21.5,143.0,1400.0,795.0,0,1,0,0
249.2,25.0,21.2,145.0,1400.0,795.0,0,1,0,0
300.0,37.0,27.0,185.0,1405.0,795.0,0,1,0,0
300.0,37.0,27.0,185.0,1405.0,795.0,0,1,0,0
300.0,38.0,27.4,185.0,1405.0,795.0,0,1,0,0
300.0,38.0,27.4,185.0,1405.0,795.0,0,1,0,0
300.0,38.0,27.4,185.0,1410.0,795.0,0,1,0,0
300.0,38.0,25.6,185.0,1410.0,795.0,0,1,0,0
300.0,38.0,25.6,185.0,1410.0,795.0,0,1,0,0
300.0,35.4,27.4,180.0,1405.0,780.0,0,0,1,0
600.0,82.0,55.0,223.0,1430.0,800.0,0,1,0,0
600.0,82.0,52.0,208.0,1480.0,800.0,0,1,0,0
600.0,82.0,52.0,208.0,1480.0,800.0,0,1,0,0
600.0,82.0,52.0,208.0,1480.0,800.0,0,1,0,0
600.0,82.0,55.0,208.0,1480.0,800.0,0,1,0,0
600.0,82.0,52.0,208.0,1480.0,800.0,0,1,0,0
1131.0,135.0,110.0,208.0,1443.0,780.0,0,1,0,0
899.0,118.0,88.0,199.0,1443.0,820.0,0,1,0,0
1131.0,129.0,110.0,208.0,1443.0,830.0,0,1,0,0
1131.0,135.0,110.0,208.0,1419.0,780.0,0,1,0,0
898.5,120.0,88.0,208.0,1435.0,830.0,0,1,0,0
754.0,81.6,67.0,220.0,1460.0,800.0,0,1,0,0
1130.0,135.0,122.0,199.0,1419.0,780.0,0,1,0,0
1130.0,135.0,117.0,199.0,1419.0,780.0,0,1,0,0
1131.0,135.0,110.0,208.0,1443.0,780.0,0,1,0,0
1131.0,157.0,120.0,208.0,1443.0,830.0,0,1,0,0
1131.0,157.0,120.0,205.0,1443.0,830.0,0,1,0,0
1131.0,157.0,120.0,205.0,1443.0,830.0,0,1,0,0
1131.0,158.0,120.0,205.0,1443.0,830.0,0,1,0,0
1131.0,135.0,117.0,208.0,1419.0,780.0,0,1,0,0
1131.0,140.0,122.0,193.0,1419.0,780.0,0,1,0,0
1131.0,135.0,117.0,215.0,1419.0,780.0,0,1,0,0
134.7,13.0,10.8,121.0,1250.0,790.0,0,1,0,0
249.2,24.5,21.0,159.0,1400.0,795.0,0,1,0,0
300.0,38.0,27.4,183.3,1405.0,795.0,0,1,0,0
300.0,38.0,27.4,183.3,1405.0,795.0,0,1,0,0
300.0,32.0,25.0,183.0,1405.0,795.0,0,1,0,0
600.0,80.5,52.0,212.7,1480.0,800.0,0,1,0,0
600.0,82.0,52.1,208.2,1480.0,800.0,0,1,0,0
599.6,67.0,48.0,208.0,1481.0,800.0,0,1,0,0
899.0,129.0,110.0,205.0,1443.0,830.0,0,1,0,0
899.0,120.0,88.0,205.0,1443.0,830.0,0,1,0,0
899.0,120.0,88.0,205.0,1443.0,830.0,0,1,0,0
899.0,118.0,88.0,199.0,1443.0,820.0,0,1,0,0
899.0,118.0,88.0,208.0,1443.0,780.0,0,1,0,0
899.0,118.0,88.0,199.0,1443.0,780.0,0,1,0,0
1130.0,135.0,117.0,196.0,1419.0,780.0,0,1,0,0
1131.0,157.0,120.0,205.0,1443.0,830.0,0,1,0,0
1131.0,155.0,120.0,208.0,1443.0,820.0,0,1,0,0
1130.0,135.0,117.0,199.0,1419.0,780.0,0,0,1,0
1130.0,135.0,117.0,196.0,1419.0,780.0,0,1,0,0
300.0,36.0,27.0,180.0,1405.0,790.0,0,0,1,0
898.0,144.0,93.2,185.0,1395.0,810.0,0,0,1,0
599.6,67.1,48.0,220.0,1481.0,800.0,0,1,0,0
1130.0,135.0,117.0,199.0,1419.0,780.0,0,1,0,0
1131.0,135.0,110.0,208.0,1443.0,820.0,0,1,0,0
899.0,116.0,79.0,199.0,1443.0,780.0,0,1,0,0
899.0,118.0,88.0,208.0,1443.0,780.0,0,1,0,0
899.0,118.0,88.0,208.0,1443.0,780.0,0,1,0,0
